subscriberkey,eventdate,jobid
00350005025X71HuU7,11/15/2023 12:00:00 AM,595434
00350005025X71HuU7,12/4/2023 12:00:00 AM,597795
00350007juH5Vm1Vyc,1/10/2023 12:00:00 AM,512345
00350007juH5Vm1Vyc,2/15/2023 12:00:00 AM,531298
00350007juH5Vm1Vyc,3/7/2023 12:00:00 AM,543216
00350007juH5Vm1Vyc,4/20/2023 12:00:00 AM,567890
00350007juH5Vm1Vyc,5/23/2023 12:00:00 AM,568472
00350007juH5Vm1Vyc,6/27/2023 12:00:00 AM,574893
00350007juH5Vm1Vyc,7/10/2023 12:00:00 AM,583210
00350007juH5Vm1Vyc,8/18/2023 12:00:00 AM,590123
00350007juH5Vm1Vyc,9/6/2023 12:00:00 AM,590543
00350007juH5Vm1Vyc,10/30/2023 12:00:00 AM,592304
00350007juH5Vm1Vyc,11/15/2023 12:00:00 AM,595434
00350007juH5Vm1Vyc,12/4/2023 12:00:00 AM,597795
00350007xCfpuFSo9s,1/10/2023 12:00:00 AM,512345
00350007xCfpuFSo9s,2/15/2023 12:00:00 AM,531298
00350007xCfpuFSo9s,3/7/2023 12:00:00 AM,543216
00350007xCfpuFSo9s,4/20/2023 12:00:00 AM,567890
00350007xCfpuFSo9s,5/23/2023 12:00:00 AM,568472
00350007xCfpuFSo9s,6/27/2023 12:00:00 AM,574893
00350007xCfpuFSo9s,7/10/2023 12:00:00 AM,583210
00350007xCfpuFSo9s,8/18/2023 12:00:00 AM,590123
00350007xCfpuFSo9s,9/6/2023 12:00:00 AM,590543
00350007xCfpuFSo9s,10/30/2023 12:00:00 AM,592304
00350007xCfpuFSo9s,11/15/2023 12:00:00 AM,595434
00350007xCfpuFSo9s,12/4/2023 12:00:00 AM,597795
0035000AQ51SGIUaIJ,1/10/2023 12:00:00 AM,512345
0035000AQ51SGIUaIJ,2/15/2023 12:00:00 AM,531298
0035000AQ51SGIUaIJ,3/7/2023 12:00:00 AM,543216
0035000AQ51SGIUaIJ,4/20/2023 12:00:00 AM,567890
0035000AQ51SGIUaIJ,5/23/2023 12:00:00 AM,568472
0035000AQ51SGIUaIJ,6/27/2023 12:00:00 AM,574893
0035000AQ51SGIUaIJ,7/10/2023 12:00:00 AM,583210
0035000AQ51SGIUaIJ,8/18/2023 12:00:00 AM,590123
0035000AQ51SGIUaIJ,9/6/2023 12:00:00 AM,590543
0035000AQ51SGIUaIJ,10/30/2023 12:00:00 AM,592304
0035000AQ51SGIUaIJ,11/15/2023 12:00:00 AM,595434
0035000AQ51SGIUaIJ,12/4/2023 12:00:00 AM,597795
0035000b1SfncoZGDd,1/10/2023 12:00:00 AM,512345
0035000b1SfncoZGDd,2/15/2023 12:00:00 AM,531298
0035000b1SfncoZGDd,3/7/2023 12:00:00 AM,543216
0035000b1SfncoZGDd,4/20/2023 12:00:00 AM,567890
0035000b1SfncoZGDd,5/23/2023 12:00:00 AM,568472
0035000b1SfncoZGDd,6/27/2023 12:00:00 AM,574893
0035000b1SfncoZGDd,7/10/2023 12:00:00 AM,583210
0035000b1SfncoZGDd,8/18/2023 12:00:00 AM,590123
0035000b1SfncoZGDd,9/6/2023 12:00:00 AM,590543
0035000b1SfncoZGDd,10/30/2023 12:00:00 AM,592304
0035000b1SfncoZGDd,11/15/2023 12:00:00 AM,595434
0035000b1SfncoZGDd,12/4/2023 12:00:00 AM,597795
0035000cct2du76PK6,1/10/2023 12:00:00 AM,512345
0035000cct2du76PK6,2/15/2023 12:00:00 AM,531298
0035000cct2du76PK6,3/7/2023 12:00:00 AM,543216
0035000cct2du76PK6,4/20/2023 12:00:00 AM,567890
0035000cct2du76PK6,5/23/2023 12:00:00 AM,568472
0035000cct2du76PK6,6/27/2023 12:00:00 AM,574893
0035000cct2du76PK6,7/10/2023 12:00:00 AM,583210
0035000cct2du76PK6,8/18/2023 12:00:00 AM,590123
0035000cct2du76PK6,9/6/2023 12:00:00 AM,590543
0035000cct2du76PK6,10/30/2023 12:00:00 AM,592304
0035000cct2du76PK6,11/15/2023 12:00:00 AM,595434
0035000cct2du76PK6,12/4/2023 12:00:00 AM,597795
0035000cR0E2vOfV9I,1/10/2023 12:00:00 AM,512345
0035000cR0E2vOfV9I,2/15/2023 12:00:00 AM,531298
0035000cR0E2vOfV9I,3/7/2023 12:00:00 AM,543216
0035000cR0E2vOfV9I,4/20/2023 12:00:00 AM,567890
0035000cR0E2vOfV9I,5/23/2023 12:00:00 AM,568472
0035000cR0E2vOfV9I,6/27/2023 12:00:00 AM,574893
0035000cR0E2vOfV9I,7/10/2023 12:00:00 AM,583210
0035000cR0E2vOfV9I,8/18/2023 12:00:00 AM,590123
0035000cR0E2vOfV9I,9/6/2023 12:00:00 AM,590543
0035000cR0E2vOfV9I,10/30/2023 12:00:00 AM,592304
0035000cR0E2vOfV9I,11/15/2023 12:00:00 AM,595434
0035000cR0E2vOfV9I,12/4/2023 12:00:00 AM,597795
0035000DEyFL7M8mr1,1/10/2023 12:00:00 AM,512345
0035000DEyFL7M8mr1,2/15/2023 12:00:00 AM,531298
0035000DEyFL7M8mr1,3/7/2023 12:00:00 AM,543216
0035000DEyFL7M8mr1,4/20/2023 12:00:00 AM,567890
0035000DEyFL7M8mr1,5/23/2023 12:00:00 AM,568472
0035000DEyFL7M8mr1,6/27/2023 12:00:00 AM,574893
0035000DEyFL7M8mr1,7/10/2023 12:00:00 AM,583210
0035000DEyFL7M8mr1,8/18/2023 12:00:00 AM,590123
0035000DEyFL7M8mr1,9/6/2023 12:00:00 AM,590543
0035000DEyFL7M8mr1,10/30/2023 12:00:00 AM,592304
0035000DEyFL7M8mr1,11/15/2023 12:00:00 AM,595434
0035000DEyFL7M8mr1,12/4/2023 12:00:00 AM,597795
0035000F8Q2hnR113p,1/10/2023 12:00:00 AM,512345
0035000F8Q2hnR113p,2/15/2023 12:00:00 AM,531298
0035000F8Q2hnR113p,3/7/2023 12:00:00 AM,543216
0035000F8Q2hnR113p,4/20/2023 12:00:00 AM,567890
0035000F8Q2hnR113p,5/23/2023 12:00:00 AM,568472
0035000F8Q2hnR113p,6/27/2023 12:00:00 AM,574893
0035000F8Q2hnR113p,7/10/2023 12:00:00 AM,583210
0035000F8Q2hnR113p,8/18/2023 12:00:00 AM,590123
0035000F8Q2hnR113p,9/6/2023 12:00:00 AM,590543
0035000F8Q2hnR113p,10/30/2023 12:00:00 AM,592304
0035000F8Q2hnR113p,11/15/2023 12:00:00 AM,595434
0035000F8Q2hnR113p,12/4/2023 12:00:00 AM,597795
0035000Fmo0AVjuOei,1/10/2023 12:00:00 AM,512345
0035000Fmo0AVjuOei,2/15/2023 12:00:00 AM,531298
0035000Fmo0AVjuOei,3/7/2023 12:00:00 AM,543216
0035000Fmo0AVjuOei,4/20/2023 12:00:00 AM,567890
0035000Fmo0AVjuOei,5/23/2023 12:00:00 AM,568472
0035000Fmo0AVjuOei,6/27/2023 12:00:00 AM,574893
0035000Fmo0AVjuOei,7/10/2023 12:00:00 AM,583210
0035000Fmo0AVjuOei,8/18/2023 12:00:00 AM,590123
0035000Fmo0AVjuOei,9/6/2023 12:00:00 AM,590543
0035000Fmo0AVjuOei,10/30/2023 12:00:00 AM,592304
0035000Fmo0AVjuOei,11/15/2023 12:00:00 AM,595434
0035000Fmo0AVjuOei,12/4/2023 12:00:00 AM,597795
0035000h075s0PFhf1,1/10/2023 12:00:00 AM,512345
0035000h075s0PFhf1,2/15/2023 12:00:00 AM,531298
0035000h075s0PFhf1,3/7/2023 12:00:00 AM,543216
0035000h075s0PFhf1,4/20/2023 12:00:00 AM,567890
0035000h075s0PFhf1,5/23/2023 12:00:00 AM,568472
0035000h075s0PFhf1,6/27/2023 12:00:00 AM,574893
0035000h075s0PFhf1,7/10/2023 12:00:00 AM,583210
0035000h075s0PFhf1,8/18/2023 12:00:00 AM,590123
0035000h075s0PFhf1,9/6/2023 12:00:00 AM,590543
0035000h075s0PFhf1,10/30/2023 12:00:00 AM,592304
0035000h075s0PFhf1,11/15/2023 12:00:00 AM,595434
0035000h075s0PFhf1,12/4/2023 12:00:00 AM,597795
0035000hm9yb1yR8cl,1/10/2023 12:00:00 AM,512345
0035000hm9yb1yR8cl,2/15/2023 12:00:00 AM,531298
0035000hm9yb1yR8cl,3/7/2023 12:00:00 AM,543216
0035000hm9yb1yR8cl,4/20/2023 12:00:00 AM,567890
0035000hm9yb1yR8cl,5/23/2023 12:00:00 AM,568472
0035000hm9yb1yR8cl,6/27/2023 12:00:00 AM,574893
0035000hm9yb1yR8cl,7/10/2023 12:00:00 AM,583210
0035000hm9yb1yR8cl,8/18/2023 12:00:00 AM,590123
0035000hm9yb1yR8cl,9/6/2023 12:00:00 AM,590543
0035000hm9yb1yR8cl,10/30/2023 12:00:00 AM,592304
0035000hm9yb1yR8cl,11/15/2023 12:00:00 AM,595434
0035000hm9yb1yR8cl,12/4/2023 12:00:00 AM,597795
0035000kfOAP3f6q86,1/10/2023 12:00:00 AM,512345
0035000kfOAP3f6q86,2/15/2023 12:00:00 AM,531298
0035000kfOAP3f6q86,3/7/2023 12:00:00 AM,543216
0035000kfOAP3f6q86,4/20/2023 12:00:00 AM,567890
0035000kfOAP3f6q86,5/23/2023 12:00:00 AM,568472
0035000kfOAP3f6q86,6/27/2023 12:00:00 AM,574893
0035000kfOAP3f6q86,7/10/2023 12:00:00 AM,583210
0035000kfOAP3f6q86,8/18/2023 12:00:00 AM,590123
0035000kfOAP3f6q86,9/6/2023 12:00:00 AM,590543
0035000kfOAP3f6q86,10/30/2023 12:00:00 AM,592304
0035000kfOAP3f6q86,11/15/2023 12:00:00 AM,595434
0035000kfOAP3f6q86,12/4/2023 12:00:00 AM,597795
0035000L19GUIxvc3Y,1/10/2023 12:00:00 AM,512345
0035000L19GUIxvc3Y,2/15/2023 12:00:00 AM,531298
0035000L19GUIxvc3Y,3/7/2023 12:00:00 AM,543216
0035000L19GUIxvc3Y,4/20/2023 12:00:00 AM,567890
0035000L19GUIxvc3Y,5/23/2023 12:00:00 AM,568472
0035000L19GUIxvc3Y,6/27/2023 12:00:00 AM,574893
0035000L19GUIxvc3Y,7/10/2023 12:00:00 AM,583210
0035000L19GUIxvc3Y,8/18/2023 12:00:00 AM,590123
0035000L19GUIxvc3Y,9/6/2023 12:00:00 AM,590543
0035000L19GUIxvc3Y,10/30/2023 12:00:00 AM,592304
0035000L19GUIxvc3Y,11/15/2023 12:00:00 AM,595434
0035000L19GUIxvc3Y,12/4/2023 12:00:00 AM,597795
0035000Lx0iLE6todJ,1/10/2023 12:00:00 AM,512345
0035000Lx0iLE6todJ,2/15/2023 12:00:00 AM,531298
0035000Lx0iLE6todJ,3/7/2023 12:00:00 AM,543216
0035000Lx0iLE6todJ,4/20/2023 12:00:00 AM,567890
0035000Lx0iLE6todJ,5/23/2023 12:00:00 AM,568472
0035000Lx0iLE6todJ,6/27/2023 12:00:00 AM,574893
0035000Lx0iLE6todJ,7/10/2023 12:00:00 AM,583210
0035000Lx0iLE6todJ,8/18/2023 12:00:00 AM,590123
0035000Lx0iLE6todJ,9/6/2023 12:00:00 AM,590543
0035000Lx0iLE6todJ,10/30/2023 12:00:00 AM,592304
0035000Lx0iLE6todJ,11/15/2023 12:00:00 AM,595434
0035000Lx0iLE6todJ,12/4/2023 12:00:00 AM,597795
0035000M2i4Ooe574h,1/10/2023 12:00:00 AM,512345
0035000M2i4Ooe574h,2/15/2023 12:00:00 AM,531298
0035000M2i4Ooe574h,3/7/2023 12:00:00 AM,543216
0035000M2i4Ooe574h,4/20/2023 12:00:00 AM,567890
0035000M2i4Ooe574h,5/23/2023 12:00:00 AM,568472
0035000M2i4Ooe574h,6/27/2023 12:00:00 AM,574893
0035000M2i4Ooe574h,7/10/2023 12:00:00 AM,583210
0035000M2i4Ooe574h,8/18/2023 12:00:00 AM,590123
0035000M2i4Ooe574h,9/6/2023 12:00:00 AM,590543
0035000M2i4Ooe574h,10/30/2023 12:00:00 AM,592304
0035000M2i4Ooe574h,11/15/2023 12:00:00 AM,595434
0035000M2i4Ooe574h,12/4/2023 12:00:00 AM,597795
0035000MY0hwX7JN6v,1/10/2023 12:00:00 AM,512345
0035000MY0hwX7JN6v,2/15/2023 12:00:00 AM,531298
0035000MY0hwX7JN6v,3/7/2023 12:00:00 AM,543216
0035000MY0hwX7JN6v,4/20/2023 12:00:00 AM,567890
0035000MY0hwX7JN6v,5/23/2023 12:00:00 AM,568472
0035000MY0hwX7JN6v,6/27/2023 12:00:00 AM,574893
0035000MY0hwX7JN6v,7/10/2023 12:00:00 AM,583210
0035000MY0hwX7JN6v,8/18/2023 12:00:00 AM,590123
0035000MY0hwX7JN6v,9/6/2023 12:00:00 AM,590543
0035000MY0hwX7JN6v,10/30/2023 12:00:00 AM,592304
0035000MY0hwX7JN6v,11/15/2023 12:00:00 AM,595434
0035000MY0hwX7JN6v,12/4/2023 12:00:00 AM,597795
0035000o3nReb4v20Y,1/10/2023 12:00:00 AM,512345
0035000o3nReb4v20Y,2/15/2023 12:00:00 AM,531298
0035000o3nReb4v20Y,3/7/2023 12:00:00 AM,543216
0035000o3nReb4v20Y,4/20/2023 12:00:00 AM,567890
0035000o3nReb4v20Y,5/23/2023 12:00:00 AM,568472
0035000o3nReb4v20Y,6/27/2023 12:00:00 AM,574893
0035000o3nReb4v20Y,7/10/2023 12:00:00 AM,583210
0035000o3nReb4v20Y,8/18/2023 12:00:00 AM,590123
0035000o3nReb4v20Y,9/6/2023 12:00:00 AM,590543
0035000o3nReb4v20Y,10/30/2023 12:00:00 AM,592304
0035000o3nReb4v20Y,11/15/2023 12:00:00 AM,595434
0035000o3nReb4v20Y,12/4/2023 12:00:00 AM,597795
0035000s55b93o8m5y,1/10/2023 12:00:00 AM,512345
0035000s55b93o8m5y,2/15/2023 12:00:00 AM,531298
0035000s55b93o8m5y,3/7/2023 12:00:00 AM,543216
0035000s55b93o8m5y,4/20/2023 12:00:00 AM,567890
0035000s55b93o8m5y,5/23/2023 12:00:00 AM,568472
0035000s55b93o8m5y,6/27/2023 12:00:00 AM,574893
0035000s55b93o8m5y,7/10/2023 12:00:00 AM,583210
0035000s55b93o8m5y,8/18/2023 12:00:00 AM,590123
0035000s55b93o8m5y,9/6/2023 12:00:00 AM,590543
0035000s55b93o8m5y,10/30/2023 12:00:00 AM,592304
0035000s55b93o8m5y,11/15/2023 12:00:00 AM,595434
0035000s55b93o8m5y,12/4/2023 12:00:00 AM,597795
0035000tNfQOU3289H,1/10/2023 12:00:00 AM,512345
0035000tNfQOU3289H,2/15/2023 12:00:00 AM,531298
0035000tNfQOU3289H,3/7/2023 12:00:00 AM,543216
0035000tNfQOU3289H,4/20/2023 12:00:00 AM,567890
0035000tNfQOU3289H,5/23/2023 12:00:00 AM,568472
0035000tNfQOU3289H,6/27/2023 12:00:00 AM,574893
0035000tNfQOU3289H,7/10/2023 12:00:00 AM,583210
0035000tNfQOU3289H,8/18/2023 12:00:00 AM,590123
0035000tNfQOU3289H,9/6/2023 12:00:00 AM,590543
0035000tNfQOU3289H,10/30/2023 12:00:00 AM,592304
0035000tNfQOU3289H,11/15/2023 12:00:00 AM,595434
0035000tNfQOU3289H,12/4/2023 12:00:00 AM,597795
0035000tS8hz8AAlRg,1/10/2023 12:00:00 AM,512345
0035000tS8hz8AAlRg,2/15/2023 12:00:00 AM,531298
0035000tS8hz8AAlRg,3/7/2023 12:00:00 AM,543216
0035000tS8hz8AAlRg,4/20/2023 12:00:00 AM,567890
0035000tS8hz8AAlRg,5/23/2023 12:00:00 AM,568472
0035000tS8hz8AAlRg,6/27/2023 12:00:00 AM,574893
0035000tS8hz8AAlRg,7/10/2023 12:00:00 AM,583210
0035000tS8hz8AAlRg,8/18/2023 12:00:00 AM,590123
0035000tS8hz8AAlRg,9/6/2023 12:00:00 AM,590543
0035000tS8hz8AAlRg,10/30/2023 12:00:00 AM,592304
0035000tS8hz8AAlRg,11/15/2023 12:00:00 AM,595434
0035000tS8hz8AAlRg,12/4/2023 12:00:00 AM,597795
0035000TXz3w03I0LG,1/10/2023 12:00:00 AM,512345
0035000TXz3w03I0LG,2/15/2023 12:00:00 AM,531298
0035000TXz3w03I0LG,3/7/2023 12:00:00 AM,543216
0035000TXz3w03I0LG,4/20/2023 12:00:00 AM,567890
0035000TXz3w03I0LG,5/23/2023 12:00:00 AM,568472
0035000TXz3w03I0LG,6/27/2023 12:00:00 AM,574893
0035000TXz3w03I0LG,7/10/2023 12:00:00 AM,583210
0035000TXz3w03I0LG,8/18/2023 12:00:00 AM,590123
0035000TXz3w03I0LG,9/6/2023 12:00:00 AM,590543
0035000TXz3w03I0LG,10/30/2023 12:00:00 AM,592304
0035000TXz3w03I0LG,11/15/2023 12:00:00 AM,595434
0035000TXz3w03I0LG,12/4/2023 12:00:00 AM,597795
0035000WTotT1hZdzj,1/10/2023 12:00:00 AM,512345
0035000WTotT1hZdzj,2/15/2023 12:00:00 AM,531298
0035000WTotT1hZdzj,3/7/2023 12:00:00 AM,543216
0035000WTotT1hZdzj,4/20/2023 12:00:00 AM,567890
0035000WTotT1hZdzj,5/23/2023 12:00:00 AM,568472
0035000WTotT1hZdzj,6/27/2023 12:00:00 AM,574893
0035000WTotT1hZdzj,7/10/2023 12:00:00 AM,583210
0035000WTotT1hZdzj,8/18/2023 12:00:00 AM,590123
0035000WTotT1hZdzj,9/6/2023 12:00:00 AM,590543
0035000WTotT1hZdzj,10/30/2023 12:00:00 AM,592304
0035000WTotT1hZdzj,11/15/2023 12:00:00 AM,595434
0035000WTotT1hZdzj,12/4/2023 12:00:00 AM,597795
0035000Y783ZSAnYFG,1/10/2023 12:00:00 AM,512345
0035000Y783ZSAnYFG,2/15/2023 12:00:00 AM,531298
0035000Y783ZSAnYFG,3/7/2023 12:00:00 AM,543216
0035000Y783ZSAnYFG,4/20/2023 12:00:00 AM,567890
0035000Y783ZSAnYFG,5/23/2023 12:00:00 AM,568472
0035000Y783ZSAnYFG,6/27/2023 12:00:00 AM,574893
0035000Y783ZSAnYFG,7/10/2023 12:00:00 AM,583210
0035000Y783ZSAnYFG,8/18/2023 12:00:00 AM,590123
0035000Y783ZSAnYFG,9/6/2023 12:00:00 AM,590543
0035000Y783ZSAnYFG,10/30/2023 12:00:00 AM,592304
0035000Y783ZSAnYFG,11/15/2023 12:00:00 AM,595434
0035000Y783ZSAnYFG,12/4/2023 12:00:00 AM,597795
0035000ytHv6vCrUoi,1/10/2023 12:00:00 AM,512345
0035000ytHv6vCrUoi,2/15/2023 12:00:00 AM,531298
0035000ytHv6vCrUoi,3/7/2023 12:00:00 AM,543216
0035000ytHv6vCrUoi,4/20/2023 12:00:00 AM,567890
0035000ytHv6vCrUoi,5/23/2023 12:00:00 AM,568472
0035000ytHv6vCrUoi,6/27/2023 12:00:00 AM,574893
0035000ytHv6vCrUoi,7/10/2023 12:00:00 AM,583210
0035000ytHv6vCrUoi,8/18/2023 12:00:00 AM,590123
0035000ytHv6vCrUoi,9/6/2023 12:00:00 AM,590543
0035000ytHv6vCrUoi,10/30/2023 12:00:00 AM,592304
0035000ytHv6vCrUoi,11/15/2023 12:00:00 AM,595434
0035000ytHv6vCrUoi,12/4/2023 12:00:00 AM,597795
0035000Z9WKBUgbT5C,1/10/2023 12:00:00 AM,512345
0035000Z9WKBUgbT5C,2/15/2023 12:00:00 AM,531298
0035000Z9WKBUgbT5C,3/7/2023 12:00:00 AM,543216
0035000Z9WKBUgbT5C,4/20/2023 12:00:00 AM,567890
0035000Z9WKBUgbT5C,5/23/2023 12:00:00 AM,568472
0035000Z9WKBUgbT5C,6/27/2023 12:00:00 AM,574893
0035000Z9WKBUgbT5C,7/10/2023 12:00:00 AM,583210
0035000Z9WKBUgbT5C,8/18/2023 12:00:00 AM,590123
0035000Z9WKBUgbT5C,9/6/2023 12:00:00 AM,590543
0035000Z9WKBUgbT5C,10/30/2023 12:00:00 AM,592304
0035000Z9WKBUgbT5C,11/15/2023 12:00:00 AM,595434
0035000Z9WKBUgbT5C,12/4/2023 12:00:00 AM,597795
0035001191jYWL583y,1/10/2023 12:00:00 AM,512345
0035001191jYWL583y,2/15/2023 12:00:00 AM,531298
0035001191jYWL583y,3/7/2023 12:00:00 AM,543216
0035001191jYWL583y,4/20/2023 12:00:00 AM,567890
0035001191jYWL583y,5/23/2023 12:00:00 AM,568472
0035001191jYWL583y,6/27/2023 12:00:00 AM,574893
0035001191jYWL583y,7/10/2023 12:00:00 AM,583210
0035001191jYWL583y,8/18/2023 12:00:00 AM,590123
0035001191jYWL583y,9/6/2023 12:00:00 AM,590543
0035001191jYWL583y,10/30/2023 12:00:00 AM,592304
0035001191jYWL583y,11/15/2023 12:00:00 AM,595434
0035001191jYWL583y,12/4/2023 12:00:00 AM,597795
00350011T0WQN6L892,1/10/2023 12:00:00 AM,512345
00350011T0WQN6L892,2/15/2023 12:00:00 AM,531298
00350011T0WQN6L892,3/7/2023 12:00:00 AM,543216
00350011T0WQN6L892,4/20/2023 12:00:00 AM,567890
00350011T0WQN6L892,5/23/2023 12:00:00 AM,568472
00350011T0WQN6L892,6/27/2023 12:00:00 AM,574893
00350011T0WQN6L892,7/10/2023 12:00:00 AM,583210
00350011T0WQN6L892,8/18/2023 12:00:00 AM,590123
00350011T0WQN6L892,9/6/2023 12:00:00 AM,590543
00350011T0WQN6L892,10/30/2023 12:00:00 AM,592304
00350011T0WQN6L892,11/15/2023 12:00:00 AM,595434
00350011T0WQN6L892,12/4/2023 12:00:00 AM,597795
00350013N3k4H5ICng,1/10/2023 12:00:00 AM,512345
00350013N3k4H5ICng,2/15/2023 12:00:00 AM,531298
00350013N3k4H5ICng,3/7/2023 12:00:00 AM,543216
00350013N3k4H5ICng,4/20/2023 12:00:00 AM,567890
00350013N3k4H5ICng,5/23/2023 12:00:00 AM,568472
00350013N3k4H5ICng,6/27/2023 12:00:00 AM,574893
00350013N3k4H5ICng,7/10/2023 12:00:00 AM,583210
00350013N3k4H5ICng,8/18/2023 12:00:00 AM,590123
00350013N3k4H5ICng,9/6/2023 12:00:00 AM,590543
00350013N3k4H5ICng,10/30/2023 12:00:00 AM,592304
00350013N3k4H5ICng,11/15/2023 12:00:00 AM,595434
00350013N3k4H5ICng,12/4/2023 12:00:00 AM,597795
00350013ToOKS8HZw3,1/10/2023 12:00:00 AM,512345
00350013ToOKS8HZw3,2/15/2023 12:00:00 AM,531298
00350013ToOKS8HZw3,3/7/2023 12:00:00 AM,543216
