subscriberkey,eventdate,isunique,jobid
003500Zb16u5ZC2lXI,2024-02-20 18:36:28,1,851689
003500l5905y6nXfd1,2024-02-20 14:36:54,1,890767
0035003rtMAN8hxEMr,2024-02-06 10:52:20,1,853497
003500I223Zq5EiY24,2024-02-12 00:07:14,1,851643
003500CsitiV9Ng54R,2024-02-20 12:50:05,0,851097
0035002ly2fYan8V5J,2024-02-09 04:27:44,1,853497
003500j8Zk5Ut311Yr,2024-02-28 16:30:19,1,851689
003500v1G6SHz76Hy4,2024-02-21 07:25:16,1,851677
003500iz89fu9331OX,2024-02-09 08:31:45,1,853497
003500NwVjvLuK2mH3,2024-02-24 11:22:50,1,890767
003500aum78SWcKyze,2024-02-01 02:07:10,1,851677
003500KL9YE64cU4x4,2024-02-25 09:05:34,1,890767
00350057T1U2n8Zl6G,2024-02-05 02:13:53,1,851643
003500z8Ei4f51iI1M,2024-02-01 21:21:06,0,851677
0035008OPxC0Y4t2yT,2024-02-05 19:37:52,1,851097
0035007iB1md1qM90m,2024-02-27 20:36:12,1,851677
003500i2eMbdi03ylb,2024-02-20 18:40:03,1,851643
003500EjJY1b59MdZA,2024-02-26 20:40:00,1,853497
003500UUU47zP74VWU,2024-02-04 02:14:57,1,851097
003500R3g40XOKy1jV,2024-02-12 23:51:55,1,851643
0035003rdPYx78xOcI,2024-02-06 22:31:09,1,851689
003500X7utuDkbM969,2024-02-08 04:42:09,1,851643
003500Y15Z1x0le33v,2024-02-25 18:41:38,1,853497
0035008902hLR78BBL,2024-02-25 17:02:57,1,890767
003500P7FM1y5287iR,2024-02-09 19:27:04,1,853497
003500yBam6Qk2tb0j,2024-02-11 19:30:51,1,890767
003500XAqDO7E7m3kT,2024-02-22 17:48:14,1,853497
003500a1HStQ3n7Q1P,2024-02-11 23:28:06,1,851643
003500j8Zk5Ut311Yr,2024-02-06 07:08:09,1,890767
00350062Z0x939pqC8,2024-02-07 14:36:06,1,851097
003500Wvh5TBLB8hq1,2024-02-03 14:37:23,1,851689
003500JZPp11t1JvtL,2024-02-24 19:34:16,1,890767
0035006fuL40B1Yyjb,2024-02-27 03:37:56,1,851677
003500O0yRL1y9KvQD,2024-02-16 09:24:34,1,853497
00350016n29oo4khP8,2024-02-12 09:41:37,1,851677
003500G13TipebHTQu,2024-02-17 10:36:12,1,853497
003500N29qETM6vgCZ,2024-02-07 18:18:57,1,851097
0035005L9L6il5M069,2024-02-16 21:31:22,1,851677
003500A24o2PH8GIw0,2024-02-10 06:34:35,0,851643
0035007u37z527zb2B,2024-02-27 17:18:29,0,853497
0035005pgMY4hK8mqp,2024-02-07 20:19:42,1,851689
003500kmv5rNGZ9rq1,2024-02-15 17:15:18,1,851677
003500J68QFWrf7IWP,2024-02-19 10:31:29,1,851677
003500v941LL10YNMG,2024-02-08 13:41:00,1,851643
003500cI396o5jAMGr,2024-02-13 13:00:05,1,851689
0035006DD2hq03LTUT,2024-02-22 01:34:05,1,851643
0035007xZ71y1j70O9,2024-02-16 09:35:17,1,851689
003500aXNQm6foM9I3,2024-02-15 17:36:23,1,890767
003500X3S8Wj8U1T4Y,2024-02-21 04:37:21,1,851097
003500OC3sNU3pyrrG,2024-02-06 14:54:12,1,851677
003500IVuYgZ4CDJiO,2024-02-08 19:32:52,1,890767
003500w19O21j35cDi,2024-02-15 10:16:21,1,851097
003500bz7XmcyvfIeA,2024-02-11 15:20:55,1,851677
003500awEL91cIa0Lp,2024-02-15 07:38:43,1,851097
003500T3i6B71Xnzd2,2024-02-06 01:19:35,1,851643
003500BGQMu6tBvkBO,2024-02-18 17:22:53,1,851677
003500M3b2zNnCiTAb,2024-02-19 10:38:29,1,851689
003500MFEp0i330gOJ,2024-02-05 03:42:39,1,853497
003500x3p8T3USpEdC,2024-02-10 07:26:44,1,890767
003500ahOjM66J9e53,2024-02-26 23:21:40,1,851689
0035002f4phh10J135,2024-02-04 01:06:22,1,853497
003500K5MYD6hhTzX5,2024-02-05 04:06:36,1,851097
003500oOwL2rC19O8A,2024-02-15 14:14:12,1,853497
003500cShFUm3ac4gQ,2024-02-09 18:49:36,1,853497
003500zaFsBws63pLj,2024-02-13 04:16:41,1,851643
003500pEz07K05Omk5,2024-02-26 11:41:13,1,851689
003500rIzZWFcSYfZ4,2024-02-20 08:18:47,1,853497
003500l60OK0F5enO4,2024-02-23 07:14:20,0,851097
003500827ij2R58zkh,2024-02-17 17:12:12,1,890767
003500x0jdTxPsQzuM,2024-02-08 09:07:44,1,851643
003500d3Ksk85lPF6U,2024-02-23 03:15:45,1,851097
003500flQfOQxu3uFR,2024-02-15 15:20:29,1,851689
003500rylCQjOkE03s,2024-02-13 04:56:41,1,851097
003500pp3HpfT34N12,2024-02-03 12:12:09,1,851643
003500Y3TSu0Us0pQX,2024-02-10 06:49:39,1,851689
0035000tS8hz8AAlRg,2024-02-23 11:24:31,1,851097
003500r92x0JB68FrW,2024-02-14 15:08:36,1,853497
003500s8xjcs5gSOp7,2024-02-14 06:13:10,1,853497
003500Tw1kUNp2YS1f,2024-02-24 10:07:37,1,851097
003500OvvjQA6saV20,2024-02-27 01:27:36,1,851097
003500Z83a5bEctq30,2024-02-17 10:52:15,1,853497
003500z7HiN66M9tk4,2024-02-22 10:21:06,1,890767
0035002G50oJ87FR79,2024-02-17 16:42:57,1,851677
003500U105pxCuzC48,2024-02-23 15:26:47,0,890767
0035009a1f11C9aVaU,2024-02-17 00:23:02,1,853497
003500ebx220f79CQN,2024-02-14 11:44:17,1,851689
0035006nK6uUMMk0Dg,2024-02-15 04:45:58,1,851643
003500twhGWZ6dVjXk,2024-02-13 17:01:21,1,851689
003500qLYLf2M9lEyh,2024-02-17 13:59:46,1,890767
00350058dSB2Z93Oyy,2024-02-01 23:04:29,1,851677
0035005103UXST65YO,2024-02-25 12:36:00,0,853497
0035009a1f11C9aVaU,2024-02-11 06:43:04,1,851677
0035007g72M83fh26n,2024-02-26 18:44:29,1,890767
00350096R1tGJKl884,2024-02-16 13:43:12,1,853497
0035001191jYWL583y,2024-02-08 12:11:19,0,851689
003500guzYXbv26lDJ,2024-02-21 10:57:55,1,851677
003500m8fqulK0dAm2,2024-02-10 14:37:23,0,890767
003500uIYQTB26kwnB,2024-02-01 20:41:24,1,853497
003500R71ql360rQB1,2024-02-21 06:59:41,1,890767
0035000F8Q2hnR113p,2024-02-24 17:26:20,1,851097
003500Micx917F1atg,2024-02-28 08:26:50,1,851643
003500h140Ec9b35UX,2024-02-01 12:30:37,1,851689
003500wL16l6fSv4Hd,2024-02-09 15:13:31,1,851097
003500Mu9s1JN4Q6D1,2024-02-08 02:32:32,1,851677
0035009iCQ14Zd8Ehu,2024-02-06 11:04:37,1,853497
003500yYHEOOGs9ONJ,2024-02-06 12:02:37,1,853497
00350016n29oo4khP8,2024-02-19 04:49:18,1,890767
0035000L19GUIxvc3Y,2024-02-20 13:42:35,1,890767
003500l3hW3o8G14uW,2024-02-27 11:31:37,1,851689
0035007d5ifYxgSYSh,2024-02-14 22:19:16,1,851689
003500qsWZ4Zc9VU88,2024-02-11 21:35:41,0,853497
003500fx8rnDC6ws8x,2024-02-28 06:32:17,1,890767
003500AXo41deY5q3x,2024-02-07 21:29:46,1,890767
003500nk5Sw153L796,2024-02-12 22:36:52,1,851689
003500UVWe2t11d96D,2024-02-22 14:32:49,1,851689
003500aZoa231CI2RN,2024-02-26 20:01:25,1,851677
003500bZnpjVTw6QV5,2024-02-22 15:39:25,1,851677
003500Yf8GLkATs7P6,2024-02-02 21:22:46,1,853497
0035007Z1fSX6Dk4rQ,2024-02-03 16:47:30,1,851097
003500BPrAV0l3Os4g,2024-02-03 14:36:39,1,851677
003500NKCSs2L9PHtL,2024-02-23 22:16:09,1,851643
003500AvnQ8h9sqtu2,2024-02-05 23:54:14,1,853497
0035009S5V0F83IWEj,2024-02-23 06:56:48,1,851643
003500L7vJvQZSfiU2,2024-02-25 14:52:01,1,890767
003500Z5VY6kYsI5LJ,2024-02-26 03:50:29,1,851689
003500rPjnGj552CWZ,2024-02-26 01:18:03,1,851643
003500fH0wu7I96wPy,2024-02-01 22:08:14,1,851689
003500qLYLf2M9lEyh,2024-02-04 19:51:16,1,851643
003500BEE1Ho6ME0PZ,2024-02-23 07:01:46,1,853497
0035009UH42zTWv1J0,2024-02-19 02:28:19,1,851689
003500tuUshz0KLxs9,2024-02-05 03:17:29,1,851677
003500P7ImOR6r5WDT,2024-02-26 11:42:03,1,851097
003500uXUb01Z9y6WC,2024-02-21 04:59:55,1,851677
003500wDzkcOIx3ej0,2024-02-14 23:53:36,0,851689
003500CmJDUy2Z0y25,2024-02-05 22:55:23,1,853497
003500OC3sNU3pyrrG,2024-02-16 01:39:41,1,853497
0035003rtMAN8hxEMr,2024-02-20 23:58:16,1,851689
0035009pspHe8rho3g,2024-02-19 11:06:17,1,851689
003500U5s4v0k5M6zQ,2024-02-22 23:43:11,0,853497
0035008IbR14se9TD9,2024-02-12 14:49:35,1,851643
003500M2cE7oe9NFUZ,2024-02-26 03:24:46,1,851677
003500F2u5UHh4453y,2024-02-07 20:47:04,1,851677
0035001O5jYk1YJw65,2024-02-20 05:29:51,1,890767
003500KIh3532wjCb9,2024-02-03 21:14:12,1,851689
003500IX56rpt21Z4a,2024-02-02 15:23:33,1,853497
003500BSC86k8J7g01,2024-02-25 22:51:55,0,851643
00350013ToOKS8HZw3,2024-02-04 03:04:19,1,851643
003500X3S8Wj8U1T4Y,2024-02-12 11:43:52,1,851643
0035009TKe2TX5O400,2024-02-11 00:56:02,1,851097
003500Ef5Gh03iE817,2024-02-25 08:42:42,1,851689
0035004iivu1Gw2G33,2024-02-17 23:36:45,1,853497
003500BPrAV0l3Os4g,2024-02-07 22:06:53,1,890767
003500xKuE372Did9I,2024-02-08 02:17:48,1,890767
0035003Y7JEM54A8iT,2024-02-19 16:52:30,1,851689
003500DGNs8zl8mC8F,2024-02-12 18:50:57,1,851097
00350022go27p6N1HQ,2024-02-05 02:59:28,1,853497
0035006jJE3pB99FV2,2024-02-23 15:34:56,1,851689
00350086q3Y3ET68Yp,2024-02-07 01:07:49,1,851097
003500V5GBRYFcVCF0,2024-02-23 13:06:46,1,890767
00350026J6V0AWLsd2,2024-02-17 16:55:10,0,853497
003500m4O17tFf15dh,2024-02-06 13:29:20,1,853497
003500re29J3351kf9,2024-02-22 13:25:26,1,853497
003500rW0PlP1j33E3,2024-02-10 22:08:25,1,851689
0035007IT665nUf58t,2024-02-06 18:31:43,1,851689
0035008x0aemD0c17B,2024-02-16 03:15:35,1,853497
003500FkPi61oLDN9m,2024-02-01 03:20:10,1,851689
003500H8Mq06w1Z6L1,2024-02-23 07:12:23,1,890767
003500UaQAZbl2Td7d,2024-02-05 03:52:31,1,890767
0035000Fmo0AVjuOei,2024-02-26 13:18:28,1,851677
003500O0yRL1y9KvQD,2024-02-26 02:02:14,1,851097
003500AXo41deY5q3x,2024-02-15 03:43:43,1,851097
0035007wc9l8dg3z6c,2024-02-23 00:12:34,1,851677
003500B3a6aixUq68F,2024-02-25 12:27:46,1,851677
003500hI7Cp4q74NmM,2024-02-15 23:47:04,1,851689
0035000DEyFL7M8mr1,2024-02-03 00:03:42,1,851643
003500Jq51E0M32ZYx,2024-02-19 02:14:23,1,853497
003500N2B93XlWF0jB,2024-02-10 03:30:17,1,890767
003500UUU47zP74VWU,2024-02-18 14:40:15,1,851643
003500384Mno4Y0urE,2024-02-01 06:18:47,1,890767
003500I3aho217qNoL,2024-02-28 19:49:43,1,853497
003500z7HiN66M9tk4,2024-02-20 17:41:33,1,853497
0035003rdPYx78xOcI,2024-02-23 00:08:59,0,853497
0035004k9Wmlzw2405,2024-02-22 05:54:12,1,851643
003500BDIa153NYoMD,2024-02-05 23:06:16,1,853497
0035009S5V0F83IWEj,2024-02-01 06:02:25,1,853497
0035001Jt1iGE89Gli,2024-02-19 12:15:57,1,851689
003500Y3TSu0Us0pQX,2024-02-19 04:22:42,1,890767
003500u1q0gBF00Co3,2024-02-10 07:01:04,1,851643
0035006O8qH5W8AA3Z,2024-02-13 18:35:30,1,851677
003500Kjvx0rqu1832,2024-02-21 17:20:58,1,890767
0035009ebQVW06smS4,2024-02-20 07:53:04,1,851643
003500bz7XmcyvfIeA,2024-02-20 01:01:47,1,851677
003500m3jjR3S8d408,2024-02-01 13:38:36,1,890767
003500R3g40XOKy1jV,2024-02-15 14:23:37,1,851097
00350029JrN3Uh23RO,2024-02-28 04:52:49,1,851689
003500ly0hIdyutxSG,2024-02-20 05:48:25,1,851643
0035005TOfR3cw3E6K,2024-02-06 06:59:12,1,851689
003500uK0PAjW9keUp,2024-02-19 23:51:43,1,851677
003500WKc2KN176k85,2024-02-03 19:03:07,1,851677
003500wL16l6fSv4Hd,2024-02-01 07:07:43,1,851643
003500ZfFX1C6YsNML,2024-02-13 12:37:22,1,851643
0035003HDNx6k1t809,2024-02-24 22:32:22,1,853497
003500mbTQl0I7Ixw0,2024-02-09 11:08:52,0,851689
003500UwMRXAT27ijt,2024-02-10 05:14:47,1,851097
003500F3HusU9PiDxb,2024-02-03 01:29:53,1,851097
003500U105pxCuzC48,2024-02-20 18:30:31,1,853497
003500v7PpUn8jggx1,2024-02-23 02:55:14,1,851097
003500FVbw1142fbq6,2024-02-12 14:06:28,1,851097
003500atxqDjOhTlG4,2024-02-15 22:15:59,1,851643
0035005Ku2l3T7V7N9,2024-02-02 07:42:50,1,851643
00350062Z0x939pqC8,2024-02-13 02:14:45,1,853497
003500uhf01ik2iBi5,2024-02-03 20:30:11,1,851643
0035006fuL40B1Yyjb,2024-02-01 01:34:53,1,851677
00350064p57IY8xO37,2024-02-20 15:50:00,1,851097
0035002vJ4t6FuiEhl,2024-02-13 20:11:03,1,851643
00350040zizYj9A1ny,2024-02-28 01:09:01,1,851689
003500oS7XRqSuGyQ2,2024-02-09 18:26:32,1,851643
0035003HDNx6k1t809,2024-02-07 23:18:29,1,851677
003500En0uYVN74XCE,2024-02-02 06:00:15,0,853497
